City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Beroroha,MG,2022-06-13 22:44:35,-21.6667,45.1667,61.39,82,4,3.4
259,Victoria,HK,2022-06-13 22:43:26,22.2855,114.1577,84.38,87,100,11.99
260,Dalby,AU,2022-06-13 22:44:36,-27.1833,151.2667,59.92,63,10,4.03
261,Haines Junction,CA,2022-06-13 22:44:36,60.7522,-137.5108,57.15,58,100,2.3
262,Kuytun,RU,2022-06-13 22:44:37,54.3419,101.5036,64.09,82,97,2.8
263,Molochnoye,RU,2022-06-13 22:44:38,59.2917,39.6787,52.27,94,99,2.13
264,Bandarbeyla,SO,2022-06-13 22:44:31,9.4942,50.8122,78.87,77,92,27.54
265,Jhudo,PK,2022-06-13 22:44:38,24.964,69.2968,86.58,61,1,11.03
266,Tommot,RU,2022-06-13 22:44:39,58.9564,126.2925,62.89,56,64,1.9
267,Ponta Do Sol,PT,2022-06-13 22:44:39,32.6667,-17.1,70.0,69,49,6.62
268,Tautira,PF,2022-06-13 22:44:39,-17.7333,-149.15,78.94,67,51,19.19
269,Cabedelo,BR,2022-06-13 22:40:42,-6.9811,-34.8339,75.87,80,22,8.59
270,Salalah,OM,2022-06-13 22:44:40,17.0151,54.0924,84.29,84,75,5.75
271,Freetown,SL,2022-06-13 22:43:21,8.484,-13.2299,78.69,85,100,9.26
272,Karwar,IN,2022-06-13 22:40:07,14.8,74.1333,78.67,84,91,1.32
273,Carnarvon,AU,2022-06-13 22:44:41,-24.8667,113.6333,63.39,56,3,11.65
274,Raudeberg,NO,2022-06-13 22:44:42,61.9875,5.1352,48.87,95,100,12.53
275,Tagusao,PH,2022-06-13 22:44:42,9.1924,117.8141,80.13,82,84,5.19
276,Pochutla,MX,2022-06-13 22:45:42,15.7432,-96.4661,80.82,80,97,5.91
277,Mount Gambier,AU,2022-06-13 22:44:32,-37.8333,140.7667,47.35,74,100,10.56
278,Beloha,MG,2022-06-13 22:43:06,-25.1667,45.05,60.87,72,0,7.92
279,Sao Filipe,CV,2022-06-13 22:45:44,14.8961,-24.4956,73.8,78,16,8.66
280,San Cristobal,VE,2022-06-13 22:45:44,7.7669,-72.225,77.18,98,88,4.59
281,Dickinson,US,2022-06-13 22:45:44,29.4608,-95.0513,96.13,67,0,18.41
282,Aykino,RU,2022-06-13 22:45:45,62.2248,49.9922,51.66,72,100,4.72
283,Almaty,KZ,2022-06-13 22:45:45,43.25,76.95,58.91,82,75,4.47
284,Esperance,AU,2022-06-13 22:45:46,-33.8667,121.9,59.52,74,80,20.94
285,Saint-Joseph,RE,2022-06-13 22:45:46,-21.3667,55.6167,68.38,77,57,13.73
286,Eureka,US,2022-06-13 22:43:35,40.8021,-124.1637,66.67,66,7,10.0
287,Portland,US,2022-06-13 22:41:45,45.5234,-122.6762,61.0,77,100,8.05
288,Caravelas,BR,2022-06-13 22:45:47,-17.7125,-39.2481,72.7,72,100,11.18
289,Lincoln,US,2022-06-13 22:40:50,40.8,-96.667,102.11,43,0,26.46
290,Pangnirtung,CA,2022-06-13 22:45:48,66.1451,-65.7125,39.2,81,20,19.57
291,Tuy Hoa,VN,2022-06-13 22:45:48,13.0833,109.3,79.5,77,79,4.94
292,Hay River,CA,2022-06-13 22:42:18,60.8156,-115.7999,71.56,26,40,8.05
293,Mayumba,GA,2022-06-13 22:45:49,-3.432,10.6554,73.99,88,99,5.73
