City_Name,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Esna,EG,25.2934,32.554,87.13,29,0,14.65,clear sky
336,Stephenville,US,32.2207,-98.2023,99.93,31,40,10.0,scattered clouds
337,Half Moon Bay,US,37.4636,-122.4286,74.05,60,0,17.27,mist
338,Bodden Town,KY,19.2833,-81.25,82.0,68,100,5.01,overcast clouds
339,Saraza,PH,8.7356,117.78,79.09,80,58,2.42,broken clouds
340,Lakes Entrance,AU,-37.8811,147.981,46.6,90,25,5.37,scattered clouds
341,Rongcheng,CN,30.634,117.8517,73.89,89,79,2.26,broken clouds
342,Ciudad Bolivar,VE,8.1222,-63.5497,79.52,78,95,14.81,overcast clouds
343,La Palma,US,33.8464,-118.0467,87.51,63,0,11.5,clear sky
344,Kushiro,JP,42.975,144.3747,63.55,94,20,1.14,fog
345,Bahia Honda,CU,22.9036,-83.1592,83.91,71,33,12.88,scattered clouds
